gage,threshold,wet_DateTime,q,rewetting_event,weting_subevent,inital_rewetting_rate,p_value_i,rewetting_rate,p_value,sample_rate
2266200,0.25,2011-07-21T01:00:00Z,0.2,83,3,0.40201278141432367,3.101311339680003e-5,0.09212771471480918,5.416335576923256e-4,1
2266200,0.25,2011-08-07T01:00:00Z,0.2,83,4,0.40201278141432367,3.101311339680003e-5,0.09212771471480918,5.416335576923256e-4,1
2266200,0.25,2011-08-11T01:00:00Z,0.2,83,5,0.40201278141432367,3.101311339680003e-5,0.09212771471480918,5.416335576923256e-4,1
2266200,0.25,2011-08-13T21:00:00Z,0.2,83,6,0.40201278141432367,3.101311339680003e-5,0.09212771471480918,5.416335576923256e-4,1
2266200,0.25,2012-06-06T05:00:00Z,0.1,84,0,0.47897042824453556,5.209169227954092e-4,0.7234348149793252,6.200070999652964e-18,0.5
2266200,0.25,2012-06-06T21:00:00Z,0.3,84,1,0.47897042824453556,5.209169227954092e-4,0.7234348149793252,6.200070999652964e-18,0.5
2266200,0.25,2012-06-07T23:30:00Z,1.4,84,2,0.47897042824453556,5.209169227954092e-4,0.7234348149793252,6.200070999652964e-18,0.5
2266200,0.25,2013-03-24T04:00:00Z,0,85,0,0.15056727262303146,0.00875800045226518,0.09043215292344384,5.662689981918416e-4,0.5
2266200,0.25,2013-03-25T04:00:00Z,0.3,85,1,0.15056727262303146,0.00875800045226518,0.09043215292344384,5.662689981918416e-4,0.5
2266200,0.25,2013-03-31T12:30:00Z,0.1,85,2,0.15056727262303146,0.00875800045226518,0.09043215292344384,5.662689981918416e-4,0.5
2266200,0.25,2013-04-21T07:00:00Z,0,86,0,0.0334982050978467,0.34537520507321284,0.03466797920959335,0.00741274678705555,0.5
2266200,0.25,2013-04-22T13:30:00Z,0.1,86,1,0.0334982050978467,0.34537520507321284,0.03466797920959335,0.00741274678705555,0.5
2266200,0.25,2013-04-24T02:30:00Z,0.1,86,2,0.0334982050978467,0.34537520507321284,0.03466797920959335,0.00741274678705555,0.5
2266200,0.25,2013-04-30T16:30:00Z,0.1,86,3,0.0334982050978467,0.34537520507321284,0.03466797920959335,0.00741274678705555,0.5
2266200,0.25,2013-05-29T21:30:00Z,0,87,0,0.22665126178593795,0.0324102660325018,0.13561097719032827,1.1070892274205951e-10,0.5
2266200,0.25,2013-05-30T12:30:00Z,0.1,87,1,0.22665126178593795,0.0324102660325018,0.13561097719032827,1.1070892274205951e-10,0.5
2266200,0.25,2013-06-05T05:30:00Z,0.1,87,2,0.22665126178593795,0.0324102660325018,0.13561097719032827,1.1070892274205951e-10,0.5
2266200,0.25,2013-06-06T17:00:00Z,0.4,87,3,0.22665126178593795,0.0324102660325018,0.13561097719032827,1.1070892274205951e-10,0.5
2266200,0.25,2017-05-31T20:30:00Z,0,88,0,0.02977618230919633,0.6428430590701426,0.010592077811677187,0.31866466046532155,0.5
2266200,0.25,2017-06-01T08:00:00Z,0.1,88,1,0.02977618230919633,0.6428430590701426,0.010592077811677187,0.31866466046532155,0.5
2266200,0.25,2017-06-03T00:15:00Z,0.2,88,2,0.02977618230919633,0.6428430590701426,0.010592077811677187,0.31866466046532155,0.5
2266200,0.25,2017-06-04T08:45:00Z,0.2,88,3,0.02977618230919633,0.6428430590701426,0.010592077811677187,0.31866466046532155,0.5
2266200,0.25,2017-06-05T10:15:00Z,0.2,88,4,0.02977618230919633,0.6428430590701426,0.010592077811677187,0.31866466046532155,0.5
2266200,0.25,2017-06-07T02:30:00Z,0.3,88,5,0.02977618230919633,0.6428430590701426,0.010592077811677187,0.31866466046532155,0.5
2266200,0.25,2017-06-07T19:00:00Z,0.4,88,6,0.02977618230919633,0.6428430590701426,0.010592077811677187,0.31866466046532155,0.5
2266200,0.25,2020-05-22T17:00:00Z,0,89,0,0.05872437132456277,0.24342574188615831,0.03249407820429866,0.200768284522877,0.25
2266200,0.25,2020-05-23T02:45:00Z,0.2,89,1,0.05872437132456277,0.24342574188615831,0.03249407820429866,0.200768284522877,0.25
2266200,0.25,2020-05-23T13:30:00Z,0.2,89,2,0.05872437132456277,0.24342574188615831,0.03249407820429866,0.200768284522877,0.25
2266200,0.25,2020-05-25T19:30:00Z,0.3,89,3,0.05872437132456277,0.24342574188615831,0.03249407820429866,0.200768284522877,0.25
2266200,0.25,2020-05-26T12:45:00Z,0.3,89,4,0.05872437132456277,0.24342574188615831,0.03249407820429866,0.200768284522877,0.25
2266200,0.25,2021-06-14T16:30:00Z,0,90,0,0.09670885283943371,0.46022529968403514,0.07121056058197099,0.2891412356558464,1
2266200,0.25,2021-06-15T01:00:00Z,0.3,90,1,0.09670885283943371,0.46022529968403514,0.07121056058197099,0.2891412356558464,1
2266200,0.25,2021-06-15T11:30:00Z,0.3,90,2,0.09670885283943371,0.46022529968403514,0.07121056058197099,0.2891412356558464,1
2266200,0.25,2021-06-15T21:45:00Z,0.8,90,3,0.09670885283943371,0.46022529968403514,0.07121056058197099,0.2891412356558464,1
8052700,0.25,1995-07-21T06:15:00Z,0,140,0,0.07146283754207129,0.38149236914591256,0.03882854471710012,0.14079601858661328,0.25
